****7****
100
22;22;18;
22;22;8;
22;22;13;
22;22;3;
22;22;5;
22;22;17;
22;22;17;
22;22;2;
22;22;8;
22;22;3;
22;22;6;
22;22;2;
22;22;6;
22;22;1;
22;22;24;
22;22;2;
22;22;25;
22;22;1;
22;22;20;
22;22;17;
22;22;8;
22;22;9;
22;22;23;
22;22;17;
22;22;15;
22;22;20;
22;22;5;
22;22;24;
22;22;6;
22;22;6;
22;22;1;
22;22;25;
22;22;16;
22;22;21;
22;22;3;
22;22;8;
22;22;21;
22;22;24;
22;22;5;
22;22;24;
22;22;7;
22;22;23;
22;22;1;
22;22;10;
22;22;23;
22;22;4;
22;22;9;
22;22;2;
22;22;1;
22;22;6;
22;22;22;
22;22;8;
22;22;23;
22;22;23;
22;22;8;
22;22;16;
22;22;3;
22;22;25;
22;22;15;
22;22;14;
22;22;15;
22;22;15;
22;22;18;
22;22;15;
22;22;23;
22;22;11;
22;22;20;
22;22;23;
22;22;8;
22;22;7;
22;22;12;
22;22;10;
22;22;15;
22;22;24;
22;22;10;
22;22;13;
22;22;15;
22;22;25;
22;22;7;
22;22;16;
22;22;10;
22;22;2;
22;22;24;
22;22;7;
22;22;2;
22;22;24;
22;22;11;
22;22;13;
22;22;19;
22;22;10;
22;22;19;
22;22;19;
22;22;25;
22;22;15;
22;22;9;
22;22;14;
22;22;23;
22;22;17;
22;22;18;
22;22;16;
1;42;826;
2;191;1948;
3;116;1179;
4;181;444;
5;123;1305;
6;50;1742;
7;35;1065;
8;46;967;
9;178;90;
10;92;268;
11;15;700;
12;21;939;
13;34;1813;
14;96;728;
15;60;1545;
16;2;1701;
17;3;80;
18;1;1453;
19;35;2154;
20;55;631;
21;34;1477;
22;40;399;
23;20;1712;
24;3;1108;
25;39;1873;
26;5;41;
27;11;1684;
28;41;1640;
29;5;1628;
30;19;1143;
31;26;364;
32;1;1035;
33;10;1926;
34;19;1848;
35;18;1015;
36;24;49;
37;1;1470;
38;32;886;
39;1;31;
40;13;1432;
41;6;929;
42;15;1114;
43;16;1045;
44;32;1513;
45;3;925;
46;5;1942;
47;2;1164;
48;8;1793;
49;6;1610;
50;5;1732;
51;2;689;
52;2;2193;
53;17;1;
54;2;1135;
55;3;1703;
56;1;46;
57;3;1460;
58;2;1138;
59;4;691;
60;1;76;
****EOF****
