****3****
50
9;4;137;
9;2;25;
5;12;212;
9;12;71;
6;5;295;
4;9;264;
4;26;190;
8;38;256;
2;32;175;
4;6;146;
1;5;126;
7;31;25;
7;3;218;
9;5;138;
3;5;100;
7;13;206;
8;9;131;
2;28;99;
3;23;225;
3;33;245;
6;17;153;
8;1;296;
4;27;116;
2;34;144;
1;12;199;
17;3;101;
1;8;8;
20;2;135;
7;6;14;
35;1;106;
37;1;255;
23;3;240;
9;4;280;
19;6;3;
32;9;232;
39;1;110;
27;2;24;
14;2;73;
1;6;301;
20;2;241;
29;8;34;
28;3;154;
1;8;31;
8;3;253;
20;7;224;
10;9;296;
32;5;78;
3;8;182;
39;1;107;
3;8;160;
1;101;473;
2;118;265;
3;114;59;
4;31;416;
5;55;202;
6;41;579;
7;11;38;
8;1;411;
9;1;471;
10;12;398;
11;16;22;
12;7;181;
13;12;3;
14;2;458;
15;8;257;
16;2;393;
17;2;174;
18;4;53;
19;4;452;
20;6;461;
21;2;57;
22;4;191;
23;3;19;
24;2;387;
25;1;469;
26;3;15;
27;2;178;
28;2;447;
29;1;177;
30;1;176;
****EOF****
