****6****
50
3;22;90;
3;1;271;
2;24;331;
9;15;139;
3;10;253;
6;22;235;
7;22;98;
4;39;112;
8;39;5;
6;26;85;
8;12;200;
4;38;31;
10;30;52;
6;28;84;
5;32;236;
3;21;303;
7;38;283;
9;1;93;
8;33;280;
6;26;281;
9;10;56;
8;32;235;
8;37;227;
3;23;200;
3;1;199;
30;5;32;
22;6;280;
18;3;8;
17;1;23;
8;6;220;
30;2;289;
13;10;254;
3;2;63;
12;2;45;
32;6;205;
31;7;238;
22;4;8;
1;1;130;
31;10;297;
28;8;174;
7;8;168;
22;3;221;
17;9;261;
34;10;119;
5;6;239;
28;6;234;
8;10;314;
37;4;77;
20;5;265;
40;6;117;
1;91;46;
2;33;202;
3;105;550;
4;19;464;
5;15;438;
6;2;455;
7;79;289;
8;25;385;
9;8;174;
10;28;522;
11;22;413;
12;10;663;
13;9;371;
14;15;271;
15;8;37;
16;6;505;
17;8;256;
18;19;2;
19;8;161;
20;3;656;
21;8;147;
22;5;31;
23;16;235;
24;6;140;
25;12;491;
26;1;182;
27;2;187;
28;1;139;
29;1;517;
30;4;483;
31;1;191;
32;3;157;
33;4;513;
34;3;253;
35;2;368;
36;2;195;
37;7;21;
38;3;184;
39;1;190;
40;3;197;
41;1;370;
42;4;380;
43;2;268;
44;5;169;
45;1;462;
****EOF****
