****6****
22
100;100;5;
100;100;2;
100;100;3;
100;100;1;
100;100;2;
100;100;2;
100;100;4;
100;100;5;
100;100;1;
100;100;4;
100;100;3;
100;100;2;
100;100;2;
100;100;5;
100;100;1;
100;100;3;
100;100;3;
100;100;1;
100;100;5;
100;100;2;
100;100;2;
100;100;3;
1;4;1337;
2;56;1008;
3;43;507;
4;2;1321;
5;36;432;
6;36;360;
7;28;1373;
8;10;2014;
9;30;1521;
10;19;891;
11;35;1926;
12;26;1166;
13;1;1319;
14;35;774;
15;52;1619;
16;31;55;
17;63;1841;
18;28;919;
19;29;107;
20;17;1807;
21;57;674;
22;27;1673;
23;1;1439;
24;5;954;
25;7;1279;
26;15;1702;
27;31;1558;
28;65;2025;
29;34;2161;
30;31;1723;
31;41;610;
32;28;1076;
33;10;1118;
34;9;1754;
35;2;2199;
36;20;1597;
37;7;205;
38;20;267;
39;19;1140;
40;16;571;
41;33;1466;
42;19;827;
43;14;213;
44;15;1292;
45;52;1216;
46;28;1967;
47;2;100;
48;1;1131;
49;11;1418;
50;12;1789;
****EOF****
