****1****
50
5;34;262;
9;40;94;
1;27;248;
6;26;311;
6;5;35;
1;7;197;
6;26;117;
3;34;264;
10;7;275;
5;32;239;
8;22;159;
6;20;154;
10;40;287;
2;12;171;
1;1;31;
10;30;174;
5;36;268;
7;7;246;
6;2;94;
8;21;165;
6;21;149;
6;3;168;
2;17;265;
3;37;95;
10;21;47;
2;8;21;
4;7;222;
22;9;115;
32;8;295;
37;4;247;
6;5;100;
12;9;22;
13;9;254;
16;6;138;
4;4;66;
40;9;187;
10;8;135;
38;1;195;
15;1;299;
24;1;306;
26;1;251;
34;7;93;
4;4;99;
30;2;17;
20;9;100;
39;4;63;
29;3;225;
1;1;169;
13;8;111;
13;7;51;
1;143;481;
2;46;342;
3;36;148;
4;112;214;
5;49;390;
6;83;10;
7;38;94;
8;17;189;
9;9;139;
10;6;455;
11;6;470;
12;17;625;
13;2;211;
14;6;132;
15;4;461;
****EOF****
